t,samples,r[25um],mgm3[25um],pcs[25um],r[1um],mgm3[1um],pcs[1um]
424754,4,0.0,0.0,0.0,0.0,0.0,0.0
430330,4,0.0,0.0,0.0,0.0,0.0,0.0
435907,4,0.0,0.0,0.0,0.0,0.0,0.0
442047,5,0.12,0.0,74.3,0.3,0.01,190.51
447738,6,0.18,0.0,112.71,1.52,0.12,949.55
453740,7,5.91,0.58,3691.85,1.19,0.09,744.46
458999,5,3.29,0.3,2058.29,0.39,0.02,244.65
465225,5,0.0,0.0,0.0,0.4,0.02,247.34
470272,5,2.16,0.18,1349.88,5.37,0.52,3356.07
476662,5,0.24,0.01,146.94,0.0,0.0,0.0
482256,5,0.25,0.01,155.56,0.45,0.03,278.49
487575,4,0.0,0.0,0.0,0.07,0.0,45.0
493471,6,1.01,0.08,634.36,1.86,0.15,1160.3
499774,5,0.0,0.0,0.0,2.53,0.22,1580.06
506125,5,2.5,0.22,1562.08,0.27,0.01,169.11
511247,4,0.0,0.0,0.0,1.52,0.12,949.05
516300,8,10.42,1.16,6512.95,8.77,0.94,5479.22
522039,9,5.84,0.58,3651.41,11.36,1.3,7100.51
527342,9,6.47,0.65,4046.72,11.67,1.34,7294.98
532827,5,3.08,0.28,1927.93,3.2,0.29,2000.15
537998,6,3.07,0.27,1917.56,7.93,0.83,4956.76
543255,10,7.6,0.79,4748.45,20.31,2.8,12500.0
548876,7,2.8,0.25,1751.66,12.61,1.48,7882.25
554607,11,10.18,1.13,6362.3,14.5,1.77,9060.89
559685,7,3.2,0.29,2000.71,6.73,0.68,4203.26
564798,7,4.71,0.45,2942.72,8.96,0.96,5601.5
570337,7,4.49,0.42,2808.73,2.46,0.21,1537.18
575649,10,12.29,1.43,7683.17,12.61,1.48,7883.9
580786,5,0.0,0.0,0.0,0.98,0.07,611.04
587166,5,0.03,0.0,17.81,0.0,0.0,0.0
593540,5,0.04,0.0,25.57,0.0,0.0,0.0
599913,5,0.03,0.0,17.51,0.0,0.0,0.0
605289,6,2.22,0.19,1386.28,3.36,0.3,2101.05
610367,7,1.12,0.09,702.91,12.36,1.44,7727.0
615857,7,2.71,0.24,1691.19,11.01,1.25,6881.8
620960,9,1.93,0.16,1204.39,3.99,0.37,2493.15
626074,9,5.67,0.56,3542.08,14.67,1.8,9168.69
631568,11,7.7,0.8,4811.65,7.8,0.81,4873.35
