t,samples,r[25um],mgm3[25um],pcs[25um],r[1um],mgm3[1um],pcs[1um]
6.3,5,1.1,0.08,688.82,0.0,0.0,0.0
12.69,5,0.05,0.0,34.38,0.0,0.0,0.0
18.26,4,0.0,0.0,0.0,0.0,0.0,0.0
23.84,4,0.0,0.0,0.0,0.0,0.0,0.0
30.24,5,0.04,0.0,25.07,0.0,0.0,0.0
36.62,5,0.05,0.0,29.34,0.0,0.0,0.0
43.0,5,0.02,0.0,9.86,0.0,0.0,0.0
48.58,4,0.0,0.0,0.0,0.0,0.0,0.0
54.15,4,0.0,0.0,0.0,0.0,0.0,0.0
59.38,4,0.0,0.0,0.0,0.04,0.0,25.45
64.96,4,0.0,0.0,0.0,0.0,0.0,0.0
70.53,4,0.0,0.0,0.0,0.0,0.0,0.0
76.92,5,0.01,0.0,6.25,0.0,0.0,0.0
83.3,5,0.0,0.0,0.0,0.35,0.02,217.54
88.87,4,0.0,0.0,0.0,0.0,0.0,0.0
94.45,4,0.0,0.0,0.0,0.0,0.0,0.0
100.03,4,0.0,0.0,0.0,0.0,0.0,0.0
105.6,4,0.0,0.0,0.0,0.0,0.0,0.0
111.18,4,0.0,0.0,0.0,0.0,0.0,0.0
116.76,4,0.0,0.0,0.0,0.0,0.0,0.0
122.33,4,0.0,0.0,0.0,0.0,0.0,0.0
127.91,4,0.0,0.0,0.0,0.0,0.0,0.0
133.49,4,0.0,0.0,0.0,0.0,0.0,0.0
139.07,4,0.0,0.0,0.0,0.0,0.0,0.0
144.64,4,0.0,0.0,0.0,0.0,0.0,0.0
151.02,5,0.16,0.0,98.96,0.0,0.0,0.0
157.41,5,0.04,0.0,24.69,0.0,0.0,0.0
163.78,5,0.07,0.0,44.31,0.0,0.0,0.0
170.17,5,0.01,0.0,6.59,0.0,0.0,0.0
176.56,5,0.03,0.0,16.61,0.0,0.0,0.0
182.14,4,0.0,0.0,0.0,0.0,0.0,0.0
187.71,4,0.0,0.0,0.0,0.0,0.0,0.0
193.29,4,0.0,0.0,0.0,0.0,0.0,0.0
198.87,4,0.0,0.0,0.0,0.0,0.0,0.0
204.44,4,0.0,0.0,0.0,0.0,0.0,0.0
210.02,4,0.0,0.0,0.0,0.0,0.0,0.0
215.6,4,0.0,0.0,0.0,0.0,0.0,0.0
220.65,4,0.02,0.0,11.38,0.0,0.0,0.0
226.23,4,0.0,0.0,0.0,0.0,0.0,0.0
232.62,5,0.03,0.0,20.29,0.0,0.0,0.0
238.2,4,0.0,0.0,0.0,0.0,0.0,0.0
243.78,4,0.0,0.0,0.0,0.0,0.0,0.0
250.16,5,0.1,0.0,60.15,0.0,0.0,0.0
255.74,4,0.0,0.0,0.0,0.0,0.0,0.0
261.31,4,0.0,0.0,0.0,0.0,0.0,0.0
267.69,5,0.08,0.0,47.84,0.0,0.0,0.0
274.08,5,0.04,0.0,22.5,0.0,0.0,0.0
279.65,4,0.0,0.0,0.0,0.0,0.0,0.0
285.23,4,0.0,0.0,0.0,0.0,0.0,0.0
291.62,5,0.09,0.0,57.9,0.0,0.0,0.0
297.2,4,0.0,0.0,0.0,0.0,0.0,0.0
302.77,4,0.0,0.0,0.0,0.0,0.0,0.0
308.35,4,0.0,0.0,0.0,0.0,0.0,0.0
313.92,4,0.0,0.0,0.0,0.0,0.0,0.0
319.5,4,0.0,0.0,0.0,0.0,0.0,0.0
325.08,4,0.0,0.0,0.0,0.0,0.0,0.0
330.66,4,0.0,0.0,0.0,0.0,0.0,0.0
336.23,4,0.0,0.0,0.0,0.0,0.0,0.0
342.16,5,0.49,0.03,305.59,0.09,0.0,53.43
347.88,7,2.47,0.21,1545.67,7.23,0.74,4520.35
353.47,4,0.0,0.0,0.0,0.0,0.0,0.0
359.04,4,0.0,0.0,0.0,0.0,0.0,0.0
364.73,7,4.47,0.42,2794.15,14.98,1.85,9362.05
370.26,11,3.9,0.36,2437.71,16.08,2.03,10047.51
376.37,8,3.32,0.3,2072.56,12.71,1.5,7943.78
381.51,7,0.96,0.07,597.38,12.55,1.47,7842.1
386.78,10,6.63,0.67,4145.1,15.09,1.87,9429.12
392.11,4,0.0,0.0,0.0,4.03,0.37,2517.99
397.92,6,0.04,0.0,22.25,0.53,0.03,330.38
403.11,6,0.75,0.05,468.01,6.6,0.67,4128.01
408.37,11,6.32,0.63,3950.51,13.27,1.58,8294.91
413.58,5,1.47,0.12,919.47,5.69,0.56,3553.61
418.67,11,6.86,0.7,4289.65,8.37,0.89,5229.92
423.98,13,9.1,0.98,5686.79,8.51,0.9,5317.16
429.54,13,10.75,1.21,6716.75,9.34,1.01,5837.31
435.07,8,5.7,0.56,3564.15,12.6,1.48,7878.0
440.41,8,1.99,0.17,1243.99,10.84,1.22,6774.11
446.23,11,5.62,0.55,3510.0,9.26,1.0,5785.64
451.85,15,6.11,0.61,3820.35,9.48,1.03,5926.5
457.26,11,8.91,0.96,5566.36,8.27,0.87,5171.11
462.4,8,0.75,0.05,468.01,9.82,1.08,6139.41
467.75,8,2.72,0.24,1702.66,3.0,0.27,1872.97
472.81,7,3.4,0.31,2124.26,3.75,0.34,2343.31
478.15,11,2.19,0.19,1366.49,8.34,0.88,5209.66
483.36,9,6.57,0.66,4107.15,5.44,0.53,3398.05
488.47,13,5.9,0.58,3689.24,18.96,2.54,11848.86
493.68,5,2.89,0.26,1808.46,0.27,0.01,171.15
499.26,4,0.0,0.0,0.0,0.0,0.0,0.0
504.84,4,0.0,0.0,0.0,0.0,0.0,0.0
510.41,4,0.0,0.0,0.0,0.0,0.0,0.0
515.99,4,0.0,0.0,0.0,0.0,0.0,0.0
521.57,4,0.0,0.0,0.0,0.0,0.0,0.0
527.15,4,0.0,0.0,0.0,0.0,0.0,0.0
532.72,4,0.0,0.0,0.0,0.0,0.0,0.0
538.3,4,0.0,0.0,0.0,0.0,0.0,0.0
543.63,4,0.0,0.0,0.0,0.23,0.01,142.6
548.88,12,5.89,0.58,3681.71,4.93,0.47,3080.94
554.1,13,8.83,0.95,5518.25,13.7,1.65,8563.64
559.2,11,8.51,0.9,5317.21,11.05,1.25,6909.06
564.34,8,6.95,0.71,4341.12,13.29,1.58,8303.46
569.87,8,4.13,0.39,2582.52,13.1,1.55,8186.86
575.05,8,3.93,0.36,2457.86,20.33,2.8,12500.0
580.67,8,4.29,0.4,2682.3,3.6,0.33,2247.11
585.82,9,4.88,0.47,3048.72,6.41,0.64,4004.14
591.45,14,6.13,0.61,3832.42,13.1,1.55,8184.5
596.55,10,4.17,0.39,2608.9,6.0,0.59,3749.36
601.62,10,5.85,0.58,3658.58,6.56,0.66,4101.85
606.75,10,5.33,0.52,3328.15,5.31,0.52,3320.49
612.16,11,5.12,0.49,3201.66,16.8,2.16,10501.32
618.1,8,2.66,0.23,1662.11,4.78,0.46,2986.5
624.25,13,6.25,0.62,3908.76,9.51,1.04,5946.83
629.69,10,4.75,0.45,2967.76,9.49,1.03,5932.1
634.75,6,5.03,0.48,3145.84,11.9,1.37,7438.58
640.44,8,4.06,0.38,2537.19,11.68,1.34,7299.8
645.8,10,8.67,0.93,5419.58,1.57,0.13,983.82
651.36,5,0.0,0.0,0.0,6.81,0.69,4257.34
656.56,7,5.64,0.55,3525.8,13.7,1.65,8562.28
662.4,7,3.84,0.35,2401.21,7.68,0.8,4799.99
668.03,6,3.05,0.27,1904.75,5.17,0.5,3231.4
673.2,8,3.63,0.33,2266.34,12.76,1.5,7977.91
679.45,8,2.36,0.2,1477.78,7.39,0.76,4616.07
685.04,4,0.0,0.0,0.0,0.0,0.0,0.0
690.49,9,1.29,0.1,808.48,10.63,1.19,6644.81
695.87,9,5.29,0.51,3306.12,11.66,1.34,7284.94
701.04,11,7.45,0.77,4653.84,7.08,0.72,4426.74
706.1,8,5.77,0.57,3608.05,10.82,1.22,6762.45
712.35,7,4.53,0.43,2832.91,7.26,0.75,4539.06
717.66,6,1.92,0.16,1197.63,5.12,0.49,3198.5
722.92,7,1.11,0.09,696.44,0.65,0.04,408.89
728.73,8,2.36,0.2,1478.01,3.22,0.29,2012.19
734.31,4,0.0,0.0,0.0,0.0,0.0,0.0
739.94,7,1.68,0.14,1050.63,2.07,0.18,1295.22
745.34,8,4.89,0.47,3056.99,6.48,0.65,4047.51
750.81,8,3.53,0.32,2207.41,4.55,0.43,2843.28
755.96,6,1.16,0.09,727.28,1.28,0.1,799.1
761.99,11,6.26,0.62,3911.08,4.92,0.47,3071.95
767.16,6,0.24,0.01,152.98,3.32,0.3,2078.05
772.28,6,2.06,0.17,1284.9,7.45,0.77,4659.12
777.94,6,0.0,0.0,0.0,1.54,0.12,960.88
784.32,5,0.12,0.0,72.29,0.0,0.0,0.0
789.75,7,0.43,0.02,268.69,3.89,0.36,2429.1
794.95,7,2.4,0.21,1501.13,5.77,0.57,3608.39
800.59,7,5.66,0.56,3536.3,1.28,0.1,799.31
805.79,9,7.79,0.81,4870.34,6.53,0.66,4082.91
810.9,13,8.45,0.9,5281.57,8.25,0.87,5153.79
816.31,6,0.49,0.03,305.14,3.34,0.3,2087.76
821.44,6,3.65,0.33,2279.73,5.4,0.53,3375.25
826.76,8,3.29,0.3,2057.3,11.2,1.27,7002.39
832.12,7,6.0,0.6,3753.07,4.44,0.42,2777.55
837.4,7,3.85,0.36,2406.79,5.61,0.55,3506.9
843.43,8,1.54,0.12,959.89,4.28,0.4,2672.17
848.65,7,3.5,0.32,2184.67,9.3,1.01,5815.12
854.62,8,3.69,0.34,2304.46,0.8,0.06,499.21
860.0,5,0.24,0.01,147.55,0.98,0.07,610.11
865.63,9,4.64,0.44,2898.67,17.29,2.24,10804.34
870.75,11,7.25,0.74,4531.99,26.75,4.13,12500.0
876.13,10,6.76,0.68,4222.74,10.19,1.13,6366.97
882.07,10,2.57,0.22,1608.53,6.3,0.63,3938.2
887.66,6,2.17,0.19,1358.19,0.72,0.05,448.16
892.96,8,7.74,0.81,4839.75,6.75,0.68,4216.02
898.39,7,2.76,0.24,1722.35,12.19,1.42,7621.36
904.08,11,4.55,0.43,2845.38,8.35,0.88,5217.62
909.38,10,2.68,0.24,1676.25,4.6,0.44,2874.17
914.81,8,3.46,0.31,2160.9,1.36,0.11,851.63
920.35,6,0.18,0.0,110.41,1.34,0.11,835.09
926.06,11,3.41,0.31,2130.89,12.78,1.51,7990.45
931.28,10,3.15,0.28,1968.35,7.54,0.78,4711.15
936.83,9,2.79,0.25,1746.43,9.08,0.98,5676.75
942.25,7,4.93,0.47,3081.74,1.47,0.12,915.76
948.0,12,3.18,0.29,1988.81,1.75,0.14,1093.86
953.06,12,4.03,0.37,2516.33,14.6,1.79,9126.04
958.27,9,5.23,0.51,3269.57,4.1,0.38,2560.81
963.6,9,1.5,0.12,935.1,4.12,0.38,2575.55
969.46,9,1.8,0.15,1125.69,2.66,0.23,1664.16
975.13,9,0.96,0.07,601.46,3.3,0.3,2062.92
980.8,10,5.27,0.51,3294.34,9.17,0.99,5733.95
986.2,6,1.78,0.15,1111.41,4.65,0.44,2906.53
991.45,9,1.73,0.14,1079.07,9.57,1.05,5982.89
996.65,12,4.6,0.44,2873.7,15.41,1.92,9631.21
1002.22,8,3.17,0.28,1981.58,3.81,0.35,2384.12
1008.12,6,0.74,0.05,461.82,8.66,0.92,5413.35
1013.37,9,6.74,0.68,4210.81,5.48,0.53,3424.07
1019.54,13,3.43,0.31,2145.31,6.56,0.66,4098.24
1024.69,8,2.65,0.23,1654.29,2.26,0.19,1409.66
1030.46,9,1.04,0.08,647.42,2.99,0.27,1869.64
1035.66,13,3.42,0.31,2134.91,9.24,1.0,5771.96
1041.17,11,3.76,0.35,2352.03,5.37,0.52,3354.97
1047.12,6,3.32,0.3,2074.74,13.07,1.55,8170.05
1052.79,5,1.95,0.16,1219.21,0.28,0.01,173.31
1058.37,4,0.0,0.0,0.0,0.0,0.0,0.0
1063.95,4,0.0,0.0,0.0,0.0,0.0,0.0
1069.53,4,0.0,0.0,0.0,0.0,0.0,0.0
1074.59,5,2.02,0.17,1262.34,3.39,0.31,2118.67
1079.81,5,0.59,0.04,366.21,8.6,0.92,5373.0
1085.13,6,2.44,0.21,1523.5,4.43,0.42,2770.64
1090.37,8,6.62,0.67,4135.26,6.31,0.63,3941.81
1096.02,9,8.17,0.86,5104.21,6.33,0.63,3954.31
1101.41,9,3.43,0.31,2144.92,2.84,0.25,1776.94
1106.81,8,7.77,0.81,4857.26,3.76,0.35,2348.51
1112.39,7,6.91,0.7,4317.86,11.06,1.25,6913.48
1117.7,11,6.05,0.6,3781.51,15.16,1.88,9478.06
1122.89,11,3.21,0.29,2004.31,12.79,1.51,7996.03
1128.06,12,8.33,0.88,5206.45,15.73,1.98,9830.47
1133.48,9,6.66,0.67,4161.99,9.25,1.0,5783.67
1139.02,6,1.58,0.13,988.65,8.05,0.85,5032.82
