t,samples,r[25um],mgm3[25um],pcs[25um],r[1um],mgm3[1um],pcs[1um]
1144.33,5,0.4,0.02,253.08,14.65,1.8,9154.39
1150.52,6,0.48,0.03,299.0,6.93,0.71,4330.77
1156.62,9,2.63,0.23,1641.38,15.95,2.01,9967.31
1162.42,6,5.0,0.48,3121.92,0.85,0.06,528.94
1167.8,9,9.3,1.01,5814.65,17.8,2.33,11124.41
1172.89,5,1.53,0.12,956.99,0.74,0.05,462.09
1177.93,6,0.9,0.07,564.43,8.12,0.85,5072.15
1183.41,10,3.05,0.27,1905.86,15.88,2.0,9922.78
1188.88,6,3.86,0.36,2410.45,25.4,3.83,12500.0
1194.88,9,2.14,0.18,1335.65,29.78,4.83,12500.0
1200.53,10,3.35,0.3,2095.37,12.15,1.41,7592.86
1205.82,5,2.99,0.27,1869.29,0.69,0.05,431.59
1211.08,7,1.2,0.09,749.67,6.16,0.61,3848.5
1216.34,6,2.57,0.22,1603.16,1.08,0.08,673.11
1221.98,10,5.52,0.54,3452.44,11.48,1.31,7175.69
1227.4,10,6.36,0.64,3976.27,2.36,0.2,1472.95
1233.43,12,5.36,0.52,3348.61,14.97,1.85,9358.48
1239.28,9,6.91,0.7,4320.55,26.01,3.97,12500.0
1244.33,9,3.28,0.3,2050.92,12.18,1.42,7612.42
1250.19,6,0.25,0.01,158.46,19.6,2.66,12249.37
1255.99,8,5.31,0.52,3321.8,13.05,1.55,8153.84
1261.93,6,0.53,0.03,334.01,5.24,0.51,3277.84
1268.1,6,1.49,0.12,934.05,11.99,1.39,7493.2
1274.32,6,0.32,0.01,198.51,4.17,0.39,2604.26
1279.91,4,0.0,0.0,0.0,0.0,0.0,0.0
1285.49,5,1.12,0.09,698.94,0.9,0.07,561.16
1290.79,4,0.0,0.0,0.0,0.66,0.04,412.92
1296.37,4,0.0,0.0,0.0,0.0,0.0,0.0
1302.57,5,0.0,0.0,0.0,0.64,0.04,398.57
1308.55,6,0.05,0.0,29.14,0.52,0.03,326.88
1314.61,5,0.12,0.0,77.56,1.02,0.08,636.44
1320.3,6,1.43,0.12,896.83,1.53,0.12,956.03
1326.25,5,0.17,0.0,106.15,0.33,0.01,203.3
1331.58,5,0.36,0.02,224.48,2.11,0.18,1320.5
1337.43,5,0.22,0.01,139.24,0.2,0.0,124.49
1342.72,5,1.42,0.11,887.08,0.66,0.04,414.88
1348.18,12,1.45,0.12,906.84,4.29,0.4,2682.81
1354.32,7,0.97,0.07,608.23,1.56,0.13,974.79
1360.71,5,0.16,0.0,97.8,0.0,0.0,0.0
1366.6,7,0.36,0.02,227.26,2.34,0.2,1462.1
1371.78,5,0.28,0.01,175.75,0.28,0.01,176.8
1377.98,7,1.62,0.13,1012.36,1.43,0.11,891.59
1383.15,4,0.0,0.0,0.0,0.32,0.01,200.2
1388.26,7,0.76,0.05,475.59,1.73,0.14,1084.34
1393.4,6,0.4,0.02,250.19,2.45,0.21,1528.26
1398.99,10,3.04,0.27,1902.8,6.49,0.65,4054.59
1404.61,9,2.03,0.17,1266.01,9.34,1.01,5835.65
1409.99,8,6.65,0.67,4153.26,2.19,0.19,1371.13
1415.25,12,10.73,1.21,6709.25,13.96,1.69,8727.08
1420.58,8,4.63,0.44,2895.74,6.64,0.67,4149.65
1426.37,6,2.44,0.21,1527.57,2.36,0.2,1475.3
1431.43,7,2.67,0.23,1668.79,5.29,0.51,3307.42
1436.53,8,0.51,0.03,319.81,1.8,0.15,1122.73
1441.72,9,6.33,0.63,3953.62,4.34,0.41,2713.6
1447.35,8,3.31,0.3,2070.51,1.74,0.14,1089.13
1452.61,9,0.95,0.07,595.33,6.24,0.62,3901.42
1458.56,8,3.45,0.31,2158.35,11.43,1.31,7146.61
1464.23,6,2.18,0.19,1364.71,1.16,0.09,727.6
1470.2,7,0.57,0.04,358.81,8.63,0.92,5392.15
1476.58,5,0.03,0.0,16.74,0.0,0.0,0.0
1482.87,5,0.0,0.0,0.0,0.72,0.05,448.06
1488.86,5,0.15,0.0,95.6,0.01,0.0,4.76
1494.61,5,0.31,0.01,194.83,0.22,0.01,138.4
1500.4,6,0.56,0.04,351.86,3.38,0.31,2109.72
1505.74,6,0.73,0.05,455.36,0.31,0.01,192.29
1510.87,6,2.13,0.18,1330.55,5.46,0.53,3409.96
1516.39,8,4.45,0.42,2780.05,7.59,0.79,4742.13
1521.69,7,1.7,0.14,1062.8,1.83,0.15,1145.62
1527.71,6,1.8,0.15,1122.54,5.44,0.53,3397.72
1532.92,8,0.84,0.06,522.36,8.09,0.85,5057.42
1538.94,6,0.44,0.02,273.89,0.59,0.04,368.58
1544.33,6,2.12,0.18,1325.08,1.34,0.11,835.11
1549.42,7,3.05,0.27,1908.94,2.28,0.2,1426.35
1554.52,6,0.36,0.02,226.75,2.91,0.26,1819.19
1560.59,6,3.45,0.31,2157.55,8.04,0.84,5022.37
1566.0,7,3.67,0.34,2295.4,1.36,0.11,848.5
1571.7,7,2.7,0.24,1684.47,8.09,0.85,5059.25
1577.42,6,0.6,0.04,373.43,1.09,0.08,683.57
1583.66,6,0.73,0.05,453.69,0.3,0.01,185.45
1589.33,6,1.45,0.12,905.61,0.29,0.01,181.56
1594.54,5,0.25,0.01,155.11,1.42,0.11,885.79
1599.88,4,0.0,0.0,0.0,0.36,0.02,222.04
1605.09,5,0.3,0.01,189.56,2.15,0.18,1343.38
1610.77,6,0.28,0.01,173.35,4.44,0.42,2777.76
1616.4,5,0.12,0.0,76.6,1.02,0.08,634.9
1621.81,4,0.02,0.0,14.2,0.0,0.0,0.0
1627.12,6,0.11,0.0,71.81,5.07,0.49,3168.06
1632.7,4,0.0,0.0,0.0,0.0,0.0,0.0
1639.22,5,0.0,0.0,0.0,1.08,0.08,676.33
1644.55,5,0.58,0.04,364.45,0.0,0.0,0.0
1649.71,5,0.45,0.03,282.81,1.04,0.08,652.73
1654.87,5,1.97,0.17,1228.6,0.29,0.01,180.41
1659.94,6,0.8,0.06,499.4,0.0,0.0,0.0
1666.01,8,1.29,0.1,807.26,2.01,0.17,1255.25
1672.25,7,0.68,0.05,422.94,7.15,0.73,4469.08
1678.53,6,0.16,0.0,97.16,13.54,1.62,8463.41
1683.7,6,0.57,0.04,355.17,0.26,0.01,160.36
1689.09,7,1.25,0.1,779.91,2.43,0.21,1520.77
1695.03,8,1.3,0.1,814.17,2.08,0.18,1302.79
1700.12,6,0.6,0.04,372.6,0.0,0.0,0.0
1705.67,6,0.56,0.04,350.25,0.0,0.0,0.0
1711.56,7,0.76,0.05,476.21,0.32,0.01,200.42
1716.95,7,1.02,0.08,637.74,7.27,0.75,4542.49
1722.73,7,2.42,0.21,1511.16,2.38,0.21,1484.86
1728.14,7,0.66,0.04,414.5,3.46,0.31,2163.87
1733.6,6,0.56,0.04,349.02,0.0,0.0,0.0
1739.02,7,0.96,0.07,600.92,0.0,0.0,0.0
1744.96,6,1.81,0.15,1133.14,3.38,0.31,2113.7
1750.19,6,0.53,0.03,334.11,1.5,0.12,939.11
1755.95,8,1.28,0.1,800.13,1.2,0.09,749.45
1761.22,6,0.65,0.04,407.61,0.0,0.0,0.0
1766.79,5,0.28,0.01,176.0,5.73,0.56,3581.7
