t,samples,r_2.5um,mgm3_2.5um,pcs_2.5um,r_1um,mgm3_1um,pcs_1um,timestamp
5.83,5,1.03,0.08,641.04,0.37,0.02,231.36,2024-12-17 20:48:51
11.81,5,0.11,0.0,68.37,0.36,0.02,224.14,2024-12-17 20:48:57
17.39,4,0.0,0.0,0.0,0.0,0.0,0.0,2024-12-17 20:49:03
23.76,5,0.17,0.0,105.01,0.0,0.0,0.0,2024-12-17 20:49:09
30.15,5,0.02,0.0,15.06,0.0,0.0,0.0,2024-12-17 20:49:16
35.72,4,0.0,0.0,0.0,0.0,0.0,0.0,2024-12-17 20:49:21
41.52,7,0.46,0.03,289.36,2.49,0.22,1558.54,2024-12-17 20:49:27
46.7,7,3.94,0.36,2462.19,2.35,0.2,1469.47,2024-12-17 20:49:32
52.28,4,0.0,0.0,0.0,0.0,0.0,0.0,2024-12-17 20:49:38
