t,samples,r[25um],mgm3[25um],pcs[25um],r[1um],mgm3[1um],pcs[1um]
5.98,7,2.54,0.22,1587.92,1.06,0.08,659.84
11.08,7,2.49,0.22,1557.34,13.19,1.57,8243.59
16.22,6,1.45,0.12,906.76,6.01,0.6,3755.15
21.6,8,5.2,0.5,3247.29,2.12,0.18,1322.86
